car_id,car_name,airbags,aircon,doors,groups,seats,transmission,mileage,rental_price_per_day
692404266,Volkswagen Passat,1,1,4,Standard,5,Manual,Unlimited km,535.7
609701103,Ford Focus Estate,1,1,4,Compact,5,Manual,Unlimited km,308.83
609703738,Ford Focus Estate,1,1,4,Compact,5,Manual,Unlimited km,315.7
726305051,Peugeot 5008,1,1,4,Intermediate,5,Automatic,Unlimited km,564.51
373607358,Kia Sportage,1,0,5,Full-size,5,Manual,Unlimited km,850.21
692403946,BMW 3 Series,1,1,4,Full-size,5,Manual,Unlimited km,750.04
692347496,Renault Grand Megane,1,1,4,Compact,5,Manual,Unlimited km,506.85
373942631,Opel Astra Estate,1,1,4,Compact,5,Manual,Unlimited km,556.64
373607318,Volkswagen Golf Estate,1,1,4,Compact,5,Manual,Unlimited km,556.64
734460361,Renault Twingo,1,0,2,Mini,4,Manual,Unlimited km,116.61
